playlist_id,song_id,added_at,position
1,2244,2020-03-31 05:37:54,1
1,1742,2020-03-31 05:37:54,2
1,1967,2020-03-31 05:37:54,3
1,1057,2020-03-31 05:37:54,4
1,1592,2020-03-31 05:37:54,5
1,1004,2020-03-31 05:37:54,6
1,167,2020-03-31 05:37:54,7
2,95,2021-02-13 12:27:54,1
2,2445,2021-02-13 12:27:54,2
2,2415,2021-02-13 12:27:54,3
2,2110,2021-02-13 12:27:54,4
2,1136,2021-02-13 12:27:54,5
2,898,2021-02-13 12:27:54,6
3,1780,2022-07-08 15:44:27,1
3,487,2022-07-08 15:44:27,2
3,397,2022-07-08 15:44:27,3
3,1001,2022-07-08 15:44:27,4
3,1826,2022-07-08 15:44:27,5
3,338,2022-07-08 15:44:27,6
3,394,2022-07-08 15:44:27,7
3,2144,2022-07-08 15:44:27,8
3,349,2022-07-08 15:44:27,9
3,1304,2022-07-08 15:44:27,10
3,379,2022-07-08 15:44:27,11
3,2475,2022-07-08 15:44:27,12
4,2646,2024-12-11 17:50:47,1
4,1513,2024-12-11 17:50:47,2
4,1062,2024-12-11 17:50:47,3
4,1351,2024-12-11 17:50:47,4
4,2054,2024-12-11 17:50:47,5
4,580,2024-12-11 17:50:47,6
4,2349,2024-12-11 17:50:47,7
4,1266,2024-12-11 17:50:47,8
4,615,2024-12-11 17:50:47,9
4,75,2024-12-11 17:50:47,10
4,775,2024-12-11 17:50:47,11
4,2605,2024-12-11 17:50:47,12
4,1065,2024-12-11 17:50:47,13
4,50,2024-12-11 17:50:47,14
4,281,2024-12-11 17:50:47,15
4,1487,2024-12-11 17:50:47,16
4,834,2024-12-11 17:50:47,17
4,1327,2024-12-11 17:50:47,18
4,980,2024-12-11 17:50:47,19
4,1138,2024-12-11 17:50:47,20
4,1692,2024-12-11 17:50:47,21
4,1684,2024-12-11 17:50:47,22
5,1829,2020-02-20 21:47:35,1
5,1318,2020-02-20 21:47:35,2
5,1537,2020-02-20 21:47:35,3
5,2355,2020-02-20 21:47:35,4
5,2488,2020-02-20 21:47:35,5
6,1026,2021-05-21 13:27:41,1
6,1161,2021-05-21 13:27:41,2
6,2384,2021-05-21 13:27:41,3
6,1120,2021-05-21 13:27:41,4
6,1657,2021-05-21 13:27:41,5
6,1770,2021-05-21 13:27:41,6
6,1809,2021-05-21 13:27:41,7
6,608,2021-05-21 13:27:41,8
6,220,2021-05-21 13:27:41,9
6,392,2021-05-21 13:27:41,10
6,240,2021-05-21 13:27:41,11
6,2255,2021-05-21 13:27:41,12
6,566,2021-05-21 13:27:41,13
6,1094,2021-05-21 13:27:41,14
6,2638,2021-05-21 13:27:41,15
6,66,2021-05-21 13:27:41,16
6,571,2021-05-21 13:27:41,17
6,2209,2021-05-21 13:27:41,18
6,376,2021-05-21 13:27:41,19
6,2077,2021-05-21 13:27:41,20
6,624,2021-05-21 13:27:41,21
6,565,2021-05-21 13:27:41,22
6,912,2021-05-21 13:27:41,23
6,2103,2021-05-21 13:27:41,24
7,2444,2021-02-15 08:39:53,1
7,1184,2021-02-15 08:39:53,2
7,5,2021-02-15 08:39:53,3
7,612,2021-02-15 08:39:53,4
7,1602,2021-02-15 08:39:53,5
7,577,2021-02-15 08:39:53,6
7,138,2021-02-15 08:39:53,7
7,2175,2021-02-15 08:39:53,8
7,1420,2021-02-15 08:39:53,9
7,2052,2021-02-15 08:39:53,10
7,287,2021-02-15 08:39:53,11
7,2036,2021-02-15 08:39:53,12
7,1074,2021-02-15 08:39:53,13
7,1331,2021-02-15 08:39:53,14
7,557,2021-02-15 08:39:53,15
7,1916,2021-02-15 08:39:53,16
7,932,2021-02-15 08:39:53,17
7,1469,2021-02-15 08:39:53,18
7,2610,2021-02-15 08:39:53,19
8,1686,2020-06-30 17:18:27,1
8,1277,2020-06-30 17:18:27,2
8,655,2020-06-30 17:18:27,3
8,911,2020-06-30 17:18:27,4
8,1411,2020-06-30 17:18:27,5
8,1862,2020-06-30 17:18:27,6
8,72,2020-06-30 17:18:27,7
8,35,2020-06-30 17:18:27,8
8,1207,2020-06-30 17:18:27,9
8,358,2020-06-30 17:18:27,10
8,654,2020-06-30 17:18:27,11
9,388,2023-07-08 23:17:32,1
9,2294,2023-07-08 23:17:32,2
9,572,2023-07-08 23:17:32,3
9,2260,2023-07-08 23:17:32,4
9,1360,2023-07-08 23:17:32,5
9,440,2023-07-08 23:17:32,6
9,2249,2023-07-08 23:17:32,7
9,476,2023-07-08 23:17:32,8
9,1715,2023-07-08 23:17:32,9
9,285,2023-07-08 23:17:32,10
9,2574,2023-07-08 23:17:32,11
9,724,2023-07-08 23:17:32,12
9,2587,2023-07-08 23:17:32,13
9,1341,2023-07-08 23:17:32,14
9,1418,2023-07-08 23:17:32,15
9,2313,2023-07-08 23:17:32,16
9,74,2023-07-08 23:17:32,17
9,1175,2023-07-08 23:17:32,18
9,1629,2023-07-08 23:17:32,19
9,469,2023-07-08 23:17:32,20
9,130,2023-07-08 23:17:32,21
9,250,2023-07-08 23:17:32,22
9,1904,2023-07-08 23:17:32,23
9,2465,2023-07-08 23:17:32,24
10,898,2025-08-14 06:27:52,1
10,227,2025-08-14 06:27:52,2
10,1084,2025-08-14 06:27:52,3
10,1747,2025-08-14 06:27:52,4
10,1673,2025-08-14 06:27:52,5
10,97,2025-08-14 06:27:52,6
10,221,2025-08-14 06:27:52,7
10,350,2025-08-14 06:27:52,8
10,524,2025-08-14 06:27:52,9
10,2301,2025-08-14 06:27:52,10
11,2140,2020-11-11 15:07:14,1
11,588,2020-11-11 15:07:14,2
11,1878,2020-11-11 15:07:14,3
11,355,2020-11-11 15:07:14,4
11,122,2020-11-11 15:07:14,5
11,368,2020-11-11 15:07:14,6
11,720,2020-11-11 15:07:14,7
11,822,2020-11-11 15:07:14,8
11,521,2020-11-11 15:07:14,9
11,2326,2020-11-11 15:07:14,10
11,2569,2020-11-11 15:07:14,11
11,1750,2020-11-11 15:07:14,12
12,1438,2025-06-18 05:23:20,1
12,367,2025-06-18 05:23:20,2
12,513,2025-06-18 05:23:20,3
12,121,2025-06-18 05:23:20,4
12,1084,2025-06-18 05:23:20,5
12,2181,2025-06-18 05:23:20,6
12,1533,2025-06-18 05:23:20,7
13,2039,2024-03-18 12:12:35,1
13,1759,2024-03-18 12:12:35,2
13,1783,2024-03-18 12:12:35,3
13,1332,2024-03-18 12:12:35,4
13,920,2024-03-18 12:12:35,5
14,1060,2023-07-10 00:06:36,1
14,1279,2023-07-10 00:06:36,2
14,1564,2023-07-10 00:06:36,3
14,189,2023-07-10 00:06:36,4
14,1252,2023-07-10 00:06:36,5
14,728,2023-07-10 00:06:36,6
14,592,2023-07-10 00:06:36,7
14,1802,2023-07-10 00:06:36,8
14,1717,2023-07-10 00:06:36,9
14,897,2023-07-10 00:06:36,10
14,2597,2023-07-10 00:06:36,11
14,1229,2023-07-10 00:06:36,12
14,1569,2023-07-10 00:06:36,13
14,104,2023-07-10 00:06:36,14
14,439,2023-07-10 00:06:36,15
14,2548,2023-07-10 00:06:36,16
14,361,2023-07-10 00:06:36,17
14,1364,2023-07-10 00:06:36,18
14,970,2023-07-10 00:06:36,19
14,29,2023-07-10 00:06:36,20
14,1499,2023-07-10 00:06:36,21
14,2045,2023-07-10 00:06:36,22
14,2564,2023-07-10 00:06:36,23
14,840,2023-07-10 00:06:36,24
14,1267,2023-07-10 00:06:36,25
14,2015,2023-07-10 00:06:36,26
14,610,2023-07-10 00:06:36,27
14,1063,2023-07-10 00:06:36,28
14,963,2023-07-10 00:06:36,29
15,2287,2021-07-22 04:16:39,1
15,1728,2021-07-22 04:16:39,2
15,341,2021-07-22 04:16:39,3
15,2012,2021-07-22 04:16:39,4
15,1679,2021-07-22 04:16:39,5
15,2191,2021-07-22 04:16:39,6
15,693,2021-07-22 04:16:39,7
15,669,2021-07-22 04:16:39,8
15,1302,2021-07-22 04:16:39,9
15,416,2021-07-22 04:16:39,10
15,517,2021-07-22 04:16:39,11
15,1880,2021-07-22 04:16:39,12
15,751,2021-07-22 04:16:39,13
15,1615,2021-07-22 04:16:39,14
15,1856,2021-07-22 04:16:39,15
15,16,2021-07-22 04:16:39,16
16,1606,2020-06-04 11:43:59,1
16,1714,2020-06-04 11:43:59,2
16,1587,2020-06-04 11:43:59,3
16,1439,2020-06-04 11:43:59,4
16,1640,2020-06-04 11:43:59,5
16,626,2020-06-04 11:43:59,6
16,533,2020-06-04 11:43:59,7
16,1131,2020-06-04 11:43:59,8
16,314,2020-06-04 11:43:59,9
16,2546,2020-06-04 11:43:59,10
16,1811,2020-06-04 11:43:59,11
16,1675,2020-06-04 11:43:59,12
16,2236,2020-06-04 11:43:59,13
16,2092,2020-06-04 11:43:59,14
16,1105,2020-06-04 11:43:59,15
