song_id,album_id,title,track_number,duration_seconds,explicit,play_count,release_date
1,1,Never Let Go,1,176,False,9735027,1981-09-19
2,1,Stand Tall,2,322,True,45172462,1981-09-19
3,1,Hurricane,3,285,False,21139813,1981-09-19
4,1,Wild Heart,4,369,False,23381086,1981-09-19
5,1,Whisper,5,302,False,89326148,1981-09-19
6,1,Autumn Wind,6,313,False,98515137,1981-09-19
7,1,Storm,7,185,False,97822035,1981-09-19
8,2,Midnight Rain,1,413,False,76166246,2022-04-30
9,2,Starlight,2,213,False,82058189,2022-04-30
10,2,Moment in Time,3,409,True,66596831,2022-04-30
11,2,Never Let Go,4,289,True,31943272,2022-04-30
12,2,Purgatory,5,283,False,85387542,2022-04-30
13,2,Neon Dreams,6,291,False,1529494,2022-04-30
14,2,Golden Hour,7,227,False,93036518,2022-04-30
15,2,Mountain High,8,299,False,14500158,2022-04-30
16,2,Midnight Rain,9,144,False,58816911,2022-04-30
17,2,New Beginning,10,205,False,66180344,2022-04-30
18,2,Lay Low,11,299,False,13613510,2022-04-30
19,2,Shattered Glass,12,415,False,21831387,2022-04-30
20,3,Brave Soul,1,157,True,39581964,2019-09-09
21,3,Sunset Boulevard,2,283,False,14055958,2019-09-09
22,3,River Deep,3,295,False,50393104,2019-09-09
23,3,Summer Night,4,158,True,45358959,2019-09-09
24,3,Shattered Glass,5,135,False,87729428,2019-09-09
25,3,Winter Morning,6,342,False,7188130,2019-09-09
26,3,Concrete Jungle,7,289,False,25499255,2019-09-09
27,3,Final Chapter,8,403,False,88663948,2019-09-09
28,3,Lightning,9,272,False,12873617,2019-09-09
29,3,Fireflies,10,321,False,20614492,2019-09-09
30,3,Fireflies,11,304,True,57392300,2019-09-09
31,3,Neon Dreams,12,270,False,26799898,2019-09-09
32,4,Concrete Jungle,1,133,False,22928708,2018-06-09
33,4,Storm,2,161,False,15503345,2018-06-09
34,5,Tornado,1,323,False,65645462,2009-07-09
35,5,Golden Hour,2,166,False,24814337,2009-07-09
36,5,Stand Tall,3,315,False,25042738,2009-07-09
37,5,Brave Soul,4,142,False,59020960,2009-07-09
38,5,Pure Love,5,254,False,36045780,2009-07-09
39,5,Scream,6,151,False,93478748,2009-07-09
40,5,Concrete Jungle,7,163,False,72672055,2009-07-09
41,5,Final Chapter,8,236,True,51956500,2009-07-09
42,5,Defeat,9,334,False,76868410,2009-07-09
43,5,Red Sky,10,363,False,10597167,2009-07-09
44,5,First Kiss,11,137,False,16143959,2009-07-09
45,6,Brave Soul,1,208,False,28439415,2009-12-26
46,6,Seasonal Change,2,184,True,56824417,2009-12-26
47,6,City Lights,3,342,False,84184877,2009-12-26
48,6,Never Let Go,4,252,False,97590113,2009-12-26
49,6,Mountain High,5,164,False,74673939,2009-12-26
50,6,First Kiss,6,402,False,37071046,2009-12-26
51,6,Defeat,7,354,True,94007723,2009-12-26
52,6,Defeat,8,334,True,55625517,2009-12-26
53,6,Always There,9,195,True,14178065,2009-12-26
54,6,Scream,10,171,False,71891508,2009-12-26
55,6,Purgatory,11,330,False,51411224,2009-12-26
56,6,Torn Apart,12,412,False,5028557,2009-12-26
57,6,Autumn Wind,13,261,False,19307578,2009-12-26
58,7,Last Dance,1,139,False,44492381,1987-07-12
59,7,Red Sky,2,145,False,36048781,1987-07-12
60,7,Stand Tall,3,130,False,40675347,1987-07-12
61,7,Tornado,4,263,False,93440079,1987-07-12
62,7,Concrete Jungle,5,236,False,40329802,1987-07-12
63,7,Free Spirit,6,284,False,97817801,1987-07-12
64,7,New Beginning,7,165,False,59286198,1987-07-12
65,7,Time Flies,8,328,False,69323646,1987-07-12
66,7,Stand Tall,9,148,False,8806960,1987-07-12
67,7,Tornado,10,379,False,18206610,1987-07-12
68,7,Battle,11,411,True,23318633,1987-07-12
69,7,Seasonal Change,12,222,True,33486016,1987-07-12
70,7,Starlight,13,353,True,48368724,1987-07-12
71,7,Fast Lane,14,260,False,62306347,1987-07-12
72,7,Fragments,15,323,True,91425675,1987-07-12
73,7,Dancing in the Dark,16,243,False,65603845,1987-07-12
74,8,Brave Soul,1,210,False,78769733,2001-12-30
75,8,Echo,2,299,False,21946425,2001-12-30
76,8,Golden Hour,3,166,False,3684342,2001-12-30
77,8,Move On,4,145,False,76807176,2001-12-30
78,8,Time Flies,5,233,False,90958716,2001-12-30
79,8,Slow Motion,6,257,False,68891441,2001-12-30
80,8,Sunset Boulevard,7,124,False,17758896,2001-12-30
81,8,Autumn Wind,8,124,False,33875271,2001-12-30
82,8,Tornado,9,260,False,50529679,2001-12-30
83,9,Purgatory,1,355,False,29287523,1982-07-17
84,9,Pure Love,2,274,False,78448538,1982-07-17
85,9,Urban Paradise,3,123,False,75357498,1982-07-17
86,9,Lightning,4,272,True,64657836,1982-07-17
87,10,Mountain High,1,292,False,85979171,2013-08-01
88,10,Demon,2,261,False,88062882,2013-08-01
89,10,Hurricane,3,216,False,69429969,2013-08-01
90,10,Red Sky,4,149,False,88654879,2013-08-01
91,10,Angel,5,191,True,87966375,2013-08-01
92,10,Pieces,6,271,False,56178935,2013-08-01
93,10,Last Dance,7,318,True,78252116,2013-08-01
94,10,Silence,8,217,False,97515873,2013-08-01
95,10,Moment in Time,9,393,False,90176660,2013-08-01
96,10,Rise Up,10,379,False,22815223,2013-08-01
97,10,Whisper,11,212,False,13100061,2013-08-01
98,11,Broken Dreams,1,185,False,97332902,2013-07-29
99,11,Whisper,2,213,False,87836731,2013-07-29
100,11,Neon Dreams,3,233,False,29974566,2013-07-29
101,11,Tornado,4,335,False,49886371,2013-07-29
102,11,Golden Hour,5,419,False,62244897,2013-07-29
103,11,Love Song,6,360,True,85147289,2013-07-29
104,11,Noise,7,417,True,63380252,2013-07-29
