song_id,genre_id
1,1
1,3
2,18
2,10
3,20
4,3
4,2
4,14
5,5
6,6
6,8
7,6
7,14
8,19
8,7
9,12
10,8
11,5
11,13
12,19
13,5
13,7
13,15
14,9
15,1
15,4
16,10
16,17
16,4
17,20
17,16
17,8
18,15
18,10
18,4
19,20
19,15
19,5
20,11
21,2
21,13
22,4
22,15
23,19
23,6
24,16
24,10
24,8
25,4
25,3
25,12
26,16
27,14
27,20
27,2
28,4
28,9
28,19
29,17
29,11
30,9
30,12
31,1
32,16
33,19
34,8
34,19
35,9
35,4
36,16
36,18
36,13
37,17
37,13
37,2
38,4
38,19
38,20
39,4
39,20
39,8
40,19
40,14
41,2
41,12
42,15
42,20
42,17
43,13
44,14
44,1
44,7
45,6
45,1
45,11
46,10
47,1
47,15
48,12
48,20
49,8
49,9
50,2
50,11
51,9
51,6
52,18
53,11
53,13
53,12
54,16
55,11
56,20
56,18
57,8
57,11
57,10
58,3
59,13
59,11
59,16
60,6
60,13
60,7
61,16
61,12
62,15
62,12
63,6
64,1
64,4
65,19
66,17
66,18
67,18
67,20
68,13
69,3
69,7
69,20
70,20
71,13
71,9
71,5
72,11
72,18
72,12
73,5
73,13
74,10
75,19
75,3
75,11
76,15
77,8
78,5
78,9
78,1
79,8
79,20
80,8
81,7
81,5
82,10
83,1
84,16
84,15
84,14
85,18
85,19
85,7
86,6
86,17
87,13
87,19
87,20
88,9
88,12
88,20
89,12
89,20
90,11
91,12
91,3
91,5
92,8
92,18
93,5
93,4
93,17
94,16
94,18
94,11
95,20
96,12
97,18
97,8
97,15
98,19
98,2
99,20
99,15
100,19
100,14
101,6
102,18
103,18
103,2
104,16
104,5
105,12
106,9
107,9
107,1
107,16
108,5
108,13
109,15
110,18
110,10
111,8
111,19
112,14
112,5
112,18
113,19
113,11
113,1
114,2
114,12
114,4
115,20
116,17
117,6
117,7
118,20
119,6
120,16
121,4
121,11
121,3
122,13
123,13
123,14
123,20
124,16
124,5
124,11
125,4
126,12
126,6
127,14
127,9
127,16
128,6
129,13
129,7
130,12
131,3
131,11
131,15
132,17
133,1
133,2
134,2
134,12
134,4
135,1
136,1
136,20
136,11
137,10
137,1
138,19
138,12
138,3
139,7
140,20
140,16
140,6
141,7
141,12
141,4
142,5
142,12
142,6
143,6
143,17
144,15
145,20
146,18
147,10
148,4
148,12
149,6
149,19
149,17
150,4
151,7
151,5
152,11
152,15
152,18
153,15
153,4
154,18
154,3
154,11
155,12
156,8
157,7
157,13
158,12
159,16
160,19
160,4
160,17
161,11
162,19
162,20
162,18
163,13
163,18
163,7
164,11
164,5
165,7
165,10
166,14
166,13
166,20
167,3
167,16
168,16
169,11
170,16
170,13
170,10
171,10
171,2
172,2
172,7
172,3
173,19
173,20
174,6
174,11
174,2
175,1
175,2
175,10
176,7
176,12
177,2
177,14
177,17
178,6
178,17
178,12
179,2
179,7
179,4
180,6
180,8
181,11
181,3
181,7
182,7
182,19
183,20
183,1
183,2
184,7
184,4
185,1
185,8
186,11
186,6
186,13
187,12
188,2
188,5
189,20
190,20
191,9
191,14
191,10
192,9
193,1
193,14
194,13
194,9
195,16
196,20
196,1
197,13
197,2
197,15
198,8
199,4
200,6
201,3
201,6
202,11
202,6
202,9
203,13
203,10
203,18
204,10
204,19
205,4
205,20
206,7
206,3
207,16
207,7
207,5
208,2
208,16
208,19
209,4
210,2
211,6
211,3
212,3
212,8
212,14
213,12
213,15
213,5
214,20
214,2
215,17
215,7
215,19
216,11
216,2
216,1
217,11
218,6
218,12
219,7
219,2
220,13
220,5
221,17
221,3
222,6
223,7
223,11
223,15
224,15
225,8
226,17
226,10
226,18
227,5
228,11
228,2
228,4
229,3
229,14
229,17
230,1
230,6
230,11
231,2
231,5
232,8
233,13
234,19
235,13
236,4
236,8
236,2
237,18
237,3
237,1
238,16
238,19
238,13
239,20
239,13
240,8
240,16
241,9
241,12
241,15
242,5
242,15
243,12
243,8
243,5
244,6
244,13
245,6
245,12
246,1
246,14
246,10
247,2
248,14
248,18
249,13
250,12
251,13
252,14
252,15
253,15
253,20
253,13
254,12
254,11
255,13
255,5
256,17
256,7
256,8
257,7
258,7
258,12
258,15
259,14
259,12
259,10
260,13
261,16
262,18
263,15
263,10
263,14
264,7
265,11
266,6
266,13
266,17
267,6
267,15
268,7
269,19
269,6
270,19
270,5
271,13
271,19
271,7
272,14
273,15
273,8
274,5
274,16
274,11
275,20
275,17
275,2
276,4
276,3
276,19
277,1
278,11
279,11
280,7
280,5
281,10
282,12
283,11
283,19
283,15
284,11
284,6
285,10
285,4
286,6
286,5
286,20
287,4
287,18
288,14
288,6
288,18
289,16
289,9
289,8
290,5
291,4
291,2
292,13
293,13
293,16
294,1
295,12
295,15
295,6
296,1
296,16
297,19
297,12
297,11
298,12
299,6
300,20
301,13
301,5
302,7
303,11
303,10
303,3
304,20
304,16
305,20
306,14
306,6
306,12
307,7
307,17
308,17
308,1
309,11
309,6
310,8
311,10
311,9
311,15
312,11
312,2
313,15
313,3
314,18
314,2
315,20
316,19
317,10
318,7
